[Header]	
System	TOCL TNML ASIL 24ML	
S/W Version	1.00	
User	sjw	
Date/Time	2/3/2026 5:04:49 PM	

[System]	
Instrument Options	TOC/ASI/IC Unit/TN/	

[Data]	
Type	Anal.	Sample Name	Sample ID	Origin	Cal. Curve	Manual Dilution	Notes	Date / Time	Spl. No.	Inj. No.	Analysis(Inj.)	Area	Conc.	Result	Excluded	Inj. Vol.	
Unknown	IC	FATE_Flume_20251204_A	Untitled	C:\TOC-L\Methods\BGC_DIC_200mgL_2024_24ml.met	C:\TOC-L\CalCurves\BGC_DIC200_20260202.2026_02_02_14_50_30.cal	1.00		2/2/2026 5:46:47 PM	1	3	IC	80.06	20.92	IC:20.77mg/L	0	50	
Unknown	IC	FATE_Flume_20251204_B	Untitled	C:\TOC-L\Methods\BGC_DIC_200mgL_2024_24ml.met	C:\TOC-L\CalCurves\BGC_DIC200_20260202.2026_02_02_14_50_30.cal	1.00		2/2/2026 5:52:56 PM	1	1	IC	86.26	22.40	IC:22.39mg/L	0	50	
Unknown	IC	FATE_Flume_20251204_B	Untitled	C:\TOC-L\Methods\BGC_DIC_200mgL_2024_24ml.met	C:\TOC-L\CalCurves\BGC_DIC200_20260202.2026_02_02_14_50_30.cal	1.00		2/2/2026 5:55:24 PM	1	2	IC	86.76	22.52	IC:22.39mg/L	0	50	
Unknown	IC	FATE_Flume_20251204_B	Untitled	C:\TOC-L\Methods\BGC_DIC_200mgL_2024_24ml.met	C:\TOC-L\CalCurves\BGC_DIC200_20260202.2026_02_02_14_50_30.cal	1.00		2/2/2026 5:57:56 PM	1	3	IC	85.68	22.26	IC:22.39mg/L	0	50	
Unknown	IC	FATE_Dock_20251204_A	Untitled	C:\TOC-L\Methods\BGC_DIC_200mgL_2024_24ml.met	C:\TOC-L\CalCurves\BGC_DIC200_20260202.2026_02_02_14_50_30.cal	1.00		2/2/2026 6:04:04 PM	1	1	IC	73.87	19.45	IC:19.50mg/L	0	50	
Unknown	IC	FATE_Dock_20251204_A	Untitled	C:\TOC-L\Methods\BGC_DIC_200mgL_2024_24ml.met	C:\TOC-L\CalCurves\BGC_DIC200_20260202.2026_02_02_14_50_30.cal	1.00		2/2/2026 6:06:30 PM	1	2	IC	73.54	19.38	IC:19.50mg/L	0	50	
Unknown	IC	FATE_Dock_20251204_A	Untitled	C:\TOC-L\Methods\BGC_DIC_200mgL_2024_24ml.met	C:\TOC-L\CalCurves\BGC_DIC200_20260202.2026_02_02_14_50_30.cal	1.00		2/2/2026 6:08:57 PM	1	3	IC	74.71	19.65	IC:19.50mg/L	0	50	
Unknown	IC	FATE_Dock_20251204_B	Untitled	C:\TOC-L\Methods\BGC_DIC_200mgL_2024_24ml.met	C:\TOC-L\CalCurves\BGC_DIC200_20260202.2026_02_02_14_50_30.cal	1.00		2/2/2026 6:15:09 PM	1	1	IC	74.21	19.54	IC:19.40mg/L	0	50	
Unknown	IC	FATE_Dock_20251204_B	Untitled	C:\TOC-L\Methods\BGC_DIC_200mgL_2024_24ml.met	C:\TOC-L\CalCurves\BGC_DIC200_20260202.2026_02_02_14_50_30.cal	1.00		2/2/2026 6:17:42 PM	1	2	IC	74.07	19.50	IC:19.40mg/L	0	50	
Unknown	IC	FATE_Dock_20251204_B	Untitled	C:\TOC-L\Methods\BGC_DIC_200mgL_2024_24ml.met	C:\TOC-L\CalCurves\BGC_DIC200_20260202.2026_02_02_14_50_30.cal	1.00		2/2/2026 6:20:15 PM	1	3	IC	72.70	19.18	IC:19.40mg/L	0	50	
Unknown	IC	DI	Untitled	C:\TOC-L\Methods\BGC_DIC_200mgL_2024_24ml.met	C:\TOC-L\CalCurves\BGC_DIC200_20260202.2026_02_02_14_50_30.cal	1.00		2/2/2026 6:24:47 PM	1	1	IC	0.4311	2.016	IC:2.013mg/L	0	50	
Unknown	IC	DI	Untitled	C:\TOC-L\Methods\BGC_DIC_200mgL_2024_24ml.met	C:\TOC-L\CalCurves\BGC_DIC200_20260202.2026_02_02_14_50_30.cal	1.00		2/2/2026 6:26:58 PM	1	2	IC	0.4692	2.025	IC:2.013mg/L	0	50	
Unknown	IC	DI	Untitled	C:\TOC-L\Methods\BGC_DIC_200mgL_2024_24ml.met	C:\TOC-L\CalCurves\BGC_DIC200_20260202.2026_02_02_14_50_30.cal	1.00		2/2/2026 6:29:09 PM	1	3	IC	0.3568	1.999	IC:2.013mg/L	0	50	
Unknown	IC	KW_1_A	Untitled	C:\TOC-L\Methods\BGC_DIC_200mgL_2024_24ml.met	C:\TOC-L\CalCurves\BGC_DIC200_20260202.2026_02_02_14_50_30.cal	1.00		2/2/2026 6:35:26 PM	1	1	IC	118.7	30.10	IC:30.05mg/L	0	50	
Unknown	IC	KW_1_A	Untitled	C:\TOC-L\Methods\BGC_DIC_200mgL_2024_24ml.met	C:\TOC-L\CalCurves\BGC_DIC200_20260202.2026_02_02_14_50_30.cal	1.00		2/2/2026 6:38:00 PM	1	2	IC	118.1	29.96	IC:30.05mg/L	0	50	
