[Header]	
System	TOCL TNML ASIL 9ML	
S/W Version	1.00	
User	sjw	
Date/Time	3/19/2026 10:04:58 AM	

[System]	
Instrument Options	TOC/ASI/IC Unit/TN/	

[Data]	
Type	Anal.	Sample Name	Sample ID	Origin	Cal. Curve	Manual Dilution	Notes	Date / Time	Spl. No.	Inj. No.	Analysis(Inj.)	Area	Conc.	Result	Excluded	Inj. Vol.	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20260313.2026_03_13_21_17_15.cal	1.00		3/17/2026 4:54:26 PM	1	3	TN	0.3925	-0.02261	NPOC:-0.1712mg/L TN:-0.03715mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20260313.2026_03_13_21_17_15.cal	1.00		3/17/2026 5:00:40 PM	1	4	TN	0.000	-0.05098	NPOC:-0.1712mg/L TN:-0.03715mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20260313.2026_03_13_21_17_15.cal	1.00		3/17/2026 5:04:25 PM	1	5	TN	0.6218	-0.00603	NPOC:-0.1712mg/L TN:-0.03715mg/L	1	50	
Unknown	NPOC/TN	Chk_Std_1C_1N	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20260313.2026_03_13_17_57_20.cal	1.00		3/17/2026 5:15:02 PM	1	1	NPOC	5.504	0.9734	NPOC:0.9647mg/L TN:0.8348mg/L	0	50	
Unknown	NPOC/TN	Chk_Std_1C_1N	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20260313.2026_03_13_17_57_20.cal	1.00		3/17/2026 5:19:41 PM	1	2	NPOC	5.728	1.033	NPOC:0.9647mg/L TN:0.8348mg/L	1	50	
Unknown	NPOC/TN	Chk_Std_1C_1N	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20260313.2026_03_13_17_57_20.cal	1.00		3/17/2026 5:24:27 PM	1	3	NPOC	5.865	1.070	NPOC:0.9647mg/L TN:0.8348mg/L	1	50	
Unknown	NPOC/TN	Chk_Std_1C_1N	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20260313.2026_03_13_17_57_20.cal	1.00		3/17/2026 5:29:12 PM	1	4	NPOC	5.440	0.9563	NPOC:0.9647mg/L TN:0.8348mg/L	0	50	
Unknown	NPOC/TN	Chk_Std_1C_1N	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20260313.2026_03_13_17_57_20.cal	1.00		3/17/2026 5:33:57 PM	1	5	NPOC	5.470	0.9644	NPOC:0.9647mg/L TN:0.8348mg/L	0	50	
Unknown	NPOC/TN	Chk_Std_1C_1N	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20260313.2026_03_13_21_17_15.cal	1.00		3/17/2026 5:15:02 PM	1	1	TN	14.12	0.9698	NPOC:0.9647mg/L TN:0.8348mg/L	1	50	
Unknown	NPOC/TN	Chk_Std_1C_1N	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20260313.2026_03_13_21_17_15.cal	1.00		3/17/2026 5:19:41 PM	1	2	TN	12.31	0.8389	NPOC:0.9647mg/L TN:0.8348mg/L	0	50	
Unknown	NPOC/TN	Chk_Std_1C_1N	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20260313.2026_03_13_21_17_15.cal	1.00		3/17/2026 5:24:27 PM	1	3	TN	13.20	0.9033	NPOC:0.9647mg/L TN:0.8348mg/L	1	50	
Unknown	NPOC/TN	Chk_Std_1C_1N	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20260313.2026_03_13_21_17_15.cal	1.00		3/17/2026 5:29:12 PM	1	4	TN	12.20	0.8310	NPOC:0.9647mg/L TN:0.8348mg/L	0	50	
