"TOA5","MGEO_SERC","CR1000X","50443","CR1000X.8.5.0","CPU:MGEO_SERCv31INT.CR1X","63885","FLUX_7810"
"TIMESTAMP","RECORD","TimeLong7810","LI7810_time","Seconds","Nanoseconds","NDX","Diag","H2O","CO2","CH4","cavity_p","cavity_t","laser_phase_p","laser_t","residual","ringdown","thermal_enc_t","phase_err","laser_t_shift","vin","cavity_p_sp","board_t","case_t","exfit_tau_rd1","peak_ht_1","exfit_tau_rd2","peak_ht_2","tec_sp","phase_ctrl_out","meas_phase","laser_phase_sp","num_peaks_win","post_ringdwn_1_ign_len","ringdwn_1_loc","peak_x0","xderiv_weight","xderiv2_weight","ch4_spec_weight","co2_spec_weight","h2o_spec_weight","start_freq","cavity_htr_w","laser_ref_pwr","offset_weight","slope_weight","evenodd_weight","evenodd_lin_weight","num_skipped_modes","pump_sp","pump_tach_ph"
"TS","RN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2026-03-31 00:01:45",77560,"2026-03-30 23:05:45",1774933545,1.774934E+09,7.639503E+07,4675285,0,281.6268,223.0452,19923.05,39.8827,55.0003,48.6198,46.5991,0.00166823,13.0764,54.4998,72.75,0.159228,24.084,39.9739,48.3233,14.3901,13.0764,0.997376,12.9974,1.02685,46.637,29467,16072.8,16000,5,4844,81818.8,91732,-8.32465E-05,-0.00022205,10.4614,0.644893,0.0287238,-0.00022205,-0.00022205,-0.00022205,6048.29,0.851703,47408.8,-0.00022205,0,0,0
"2026-03-31 00:02:00",77561,"2026-03-30 23:06:00",1774933560,1.774934E+09,7.565189E+07,4675345,0,281.5933,222.164,19925.01,39.8823,55.0003,48.6198,46.5991,0.00167075,13.077,54.4998,106.25,0.159228,24.0832,39.9739,48.3252,14.3901,13.077,0.997383,12.9968,1.02685,46.637,29467,16106.2,16000,5,4850.25,81842,91722.5,-4.05085E-05,-0.000221658,10.4624,0.642337,0.0287203,-0.000221658,-0.000221658,-0.000221658,6048.29,0.851703,47407.5,-0.000221658,0,0,0
"2026-03-31 00:02:15",77562,"2026-03-30 23:06:15",1774933575,1.774934E+09,7.49011E+07,4675405,0,281.6074,222.8478,19926.67,39.8823,55.0003,48.6198,46.5993,0.00163864,13.0766,54.4998,-39.25,0.159228,24.0836,39.9739,48.3218,14.3901,13.0766,0.997363,12.9972,1.02678,46.637,29466.8,15960.8,16000,5,4863.25,81817.2,91716.2,-6.15298E-05,-0.000209149,10.4633,0.64432,0.0287218,-0.000209149,-0.000209149,-0.000209149,6048.29,0.851703,47409,-0.000209149,0,0,0
"2026-03-31 00:02:30",77563,"2026-03-30 23:06:30",1774933590,1.774934E+09,7.417106E+07,4675465,0,281.087,222.4757,19928.71,39.8827,55.0003,48.6182,46.5994,0.00163498,13.077,54.4998,-25.5,0.159228,24.084,39.9739,48.3228,14.3901,13.077,0.997369,12.9975,1.02678,46.637,29465.5,15974.5,16000,5,4847,81812.8,91719.2,-8.12623E-05,-0.0002191,10.4644,0.643245,0.0286687,-0.0002191,-0.0002191,-0.0002191,6048.29,0.851703,47409,-0.0002191,0,0,0
"2026-03-31 00:02:45",77564,"2026-03-30 23:06:45",1774933605,1.774934E+09,7.342005E+07,4675525,0,281.4436,222.7762,19931.33,39.8827,55.0003,48.6202,46.5993,0.00165436,13.0763,54.4998,119.5,0.159228,24.0836,39.9739,48.3252,14.3901,13.0763,0.997327,12.9971,1.02681,46.637,29466.8,16119.5,16000,5,4827.25,81816,91720,-0.000114516,-0.000231229,10.4657,0.644114,0.0287051,-0.000231229,-0.000231229,-0.000231229,6048.29,0.851703,47406.2,-0.000231229,0,0,0
"2026-03-31 00:03:00",77565,"2026-03-30 23:07:00",1774933620,1.774934E+09,7.268095E+07,4675585,0,281.0193,223.0556,19933.52,39.8818,55.0003,48.6219,46.5991,0.00166478,13.0773,54.4998,-117.5,0.159228,24.0844,39.9739,48.3228,14.3901,13.0773,0.997339,12.9976,1.02676,46.637,29467.8,15882.5,16000,5,4844.5,81822,91710.2,-6.054E-05,-0.000225329,10.4669,0.644928,0.0286618,-0.000225329,-0.000225329,-0.000225329,6048.29,0.851703,47410.2,-0.000225329,0,0,0
"2026-03-31 00:03:15",77566,"2026-03-30 23:07:15",1774933635,1.774934E+09,7.193398E+07,4675645,0,281.2117,222.3531,19935.38,39.8827,55.0003,48.6169,46.5993,0.00164047,13.0764,54.4998,152,0.159228,24.0836,39.9738,48.3233,14.3901,13.0764,0.997335,12.9968,1.02682,46.637,29465.8,16152,16000,5,4841.5,81825,91732.2,-5.85238E-05,-0.000232711,10.4679,0.642889,0.0286814,-0.000232711,-0.000232711,-0.000232711,6048.29,0.851703,47409,-0.000232711,0,0,0
"2026-03-31 00:03:30",77567,"2026-03-30 23:07:30",1774933650,1.774934E+09,7.119298E+07,4675705,0,281.5847,222.5595,19937.64,39.8814,55.0003,48.6247,46.5994,0.00164191,13.0772,54.4998,-95.25,0.159228,24.084,39.9738,48.3252,14.3901,13.0772,0.997349,12.9973,1.02679,46.637,29469,15904.8,16000,5,4839.25,81805,91710.5,-1.12216E-05,-0.00022585,10.4691,0.643484,0.0287195,-0.00022585,-0.00022585,-0.00022585,6048.29,0.851703,47407.2,-0.00022585,0,0,0
"2026-03-31 00:03:45",77568,"2026-03-30 23:07:45",1774933665,1.774934E+09,7.044792E+07,4675765,0,282.1231,222.4879,19940.59,39.8823,55.0003,48.6194,46.5993,0.00163535,13.0763,54.4998,28.5,0.159228,24.0836,39.9738,48.3262,14.3901,13.0763,0.997369,12.9973,1.02683,46.637,29467,16028.5,16000,5,4858.25,81834.8,91744,-0.000101837,-0.000232531,10.4706,0.643272,0.0287743,-0.000232531,-0.000232531,-0.000232531,6048.29,0.851703,47406.8,-0.000232531,0,0,0
"2026-03-31 00:04:00",77569,"2026-03-30 23:08:00",1774933680,1.774934E+09,6.970596E+07,4675825,0,281.6244,222.8575,19943.21,39.8831,55.0003,48.6169,46.5994,0.00166129,13.0766,54.4998,2,0.159228,24.084,39.974,48.3248,14.3901,13.0766,0.997345,12.9971,1.02678,46.637,29465.5,16002,16000,5,4819,81808,91725.5,-1.79818E-05,-0.000222981,10.472,0.644348,0.0287235,-0.000222981,-0.000222981,-0.000222981,6048.29,0.851703,47408.2,-0.000222981,0,0,0
"2026-03-31 00:04:15",77570,"2026-03-30 23:08:15",1774933695,1.774934E+09,6.89621E+07,4675885,0,281.5465,222.5428,19943.89,39.8814,55.0003,48.6169,46.5993,0.00162602,13.0757,54.4998,61,0.159228,24.084,39.9743,48.3199,14.3901,13.0757,0.997329,12.9972,1.02677,46.637,29465.5,16061,16000,5,4846.5,81836.8,91731.8,-2.57346E-05,-0.000236982,10.4723,0.643436,0.0287156,-0.000236982,-0.000236982,-0.000236982,6048.29,0.851703,47406.5,-0.000236982,0,0,0
"2026-03-31 00:04:30",77571,"2026-03-30 23:08:30",1774933710,1.774934E+09,6.821894E+07,4675945,0,281.4503,222.7028,19947.59,39.8827,55.0003,48.6182,46.5994,0.00163765,13.0765,54.4998,23,0.159228,24.0836,39.9744,48.3194,14.3901,13.0765,0.997373,12.9974,1.02681,46.637,29465.8,16023,16000,5,4845.75,81828,91729,-8.82322E-05,-0.000240393,10.4743,0.643901,0.0287058,-0.000240393,-0.000240393,-0.000240393,6048.29,0.851703,47408.5,-0.000240393,0,0,0
"2026-03-31 00:04:45",77572,"2026-03-30 23:08:45",1774933725,1.774934E+09,6.747794E+07,4676005,0,280.3392,222.673,19948.61,39.8831,55.0003,48.6198,46.5994,0.00164798,13.0763,54.4998,14.25,0.159228,24.084,39.9741,48.3238,14.3901,13.0763,0.997363,12.9967,1.02684,46.637,29467.2,16014.2,16000,5,4818.75,81801.8,91737,-5.6372E-05,-0.000230945,10.4748,0.643824,0.0285925,-0.000230945,-0.000230945,-0.000230945,6048.29,0.851703,47407.2,-0.000230945,0,0,0
