"Site","Plot","TIMESTAMP","Instrument","Instrument_ID","Sensor_ID","Location","Value","research_name","Source_file","F_OOB","F_OOS","F_MAD"
"GCW","W","2023-01-01 23:45:00","LI-190R",,,,0.086,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-02 00:00:00","LI-190R",,,,0.145,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-02 00:15:00","LI-190R",,,,0.137,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-02 00:30:00","LI-190R",,,,0.107,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-02 00:45:00","LI-190R",,,,0.128,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-02 01:00:00","LI-190R",,,,0.107,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-02 01:15:00","LI-190R",,,,0.171,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-02 01:30:00","LI-190R",,,,0.338,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-02 01:45:00","LI-190R",,,,0.231,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-02 02:00:00","LI-190R",,,,0.235,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-02 02:15:00","LI-190R",,,,0.128,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-02 02:30:00","LI-190R",,,,0.133,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-02 02:45:00","LI-190R",,,,0.094,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-02 03:00:00","LI-190R",,,,0.09,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-02 03:15:00","LI-190R",,,,0.073,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-02 03:30:00","LI-190R",,,,0.111,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-02 03:45:00","LI-190R",,,,0.171,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-02 04:00:00","LI-190R",,,,0.111,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-02 04:15:00","LI-190R",,,,0.068,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-02 04:30:00","LI-190R",,,,0.128,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-02 04:45:00","LI-190R",,,,0.103,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-02 05:00:00","LI-190R",,,,0.124,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-02 05:15:00","LI-190R",,,,0.077,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-02 05:30:00","LI-190R",,,,0.051,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-02 05:45:00","LI-190R",,,,0.047,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-02 06:00:00","LI-190R",,,,0.163,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-02 06:15:00","LI-190R",,,,0.171,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-02 06:30:00","LI-190R",,,,0.103,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-02 06:45:00","LI-190R",,,,0.103,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-02 07:00:00","LI-190R",,,,0.364,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-02 07:15:00","LI-190R",,,,1.463,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-02 07:30:00","LI-190R",,,,8.11,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-02 07:45:00","LI-190R",,,,26.24,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-02 08:00:00","LI-190R",,,,44.24,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-02 08:15:00","LI-190R",,,,127.7,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-02 08:30:00","LI-190R",,,,233.1,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-02 08:45:00","LI-190R",,,,280.1,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-02 09:00:00","LI-190R",,,,368.3,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-02 09:15:00","LI-190R",,,,545.8,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-02 09:30:00","LI-190R",,,,307.8,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-02 09:45:00","LI-190R",,,,428.5,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-02 10:00:00","LI-190R",,,,550.2,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-02 10:15:00","LI-190R",,,,596.2,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-02 10:30:00","LI-190R",,,,630.5,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-02 10:45:00","LI-190R",,,,668,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-02 11:00:00","LI-190R",,,,700.1,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-02 11:15:00","LI-190R",,,,781.4,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-02 11:30:00","LI-190R",,,,836,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-02 11:45:00","LI-190R",,,,851,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-02 12:00:00","LI-190R",,,,771.1,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-02 12:15:00","LI-190R",,,,771.7,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-02 12:30:00","LI-190R",,,,795.7,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-02 12:45:00","LI-190R",,,,342.4,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-02 13:00:00","LI-190R",,,,295.8,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-02 13:15:00","LI-190R",,,,326.6,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-02 13:30:00","LI-190R",,,,394.3,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-02 13:45:00","LI-190R",,,,477.7,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-02 14:00:00","LI-190R",,,,290.4,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-02 14:15:00","LI-190R",,,,264.5,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-02 14:30:00","LI-190R",,,,256,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-02 14:45:00","LI-190R",,,,279.7,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-02 15:00:00","LI-190R",,,,272.6,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-02 15:15:00","LI-190R",,,,216,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-02 15:30:00","LI-190R",,,,124.8,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-02 15:45:00","LI-190R",,,,85.3,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-02 16:00:00","LI-190R",,,,76.92,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-02 16:15:00","LI-190R",,,,59.18,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-02 16:30:00","LI-190R",,,,39.35,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-02 16:45:00","LI-190R",,,,20.32,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-02 17:00:00","LI-190R",,,,6.773,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-02 17:15:00","LI-190R",,,,1.457,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-02 17:30:00","LI-190R",,,,0.483,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-02 17:45:00","LI-190R",,,,0.094,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-02 18:00:00","LI-190R",,,,0.133,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-02 18:15:00","LI-190R",,,,0.162,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-02 18:30:00","LI-190R",,,,0.227,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-02 18:45:00","LI-190R",,,,0.103,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-02 19:00:00","LI-190R",,,,0.175,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-02 19:15:00","LI-190R",,,,0.188,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-02 19:30:00","LI-190R",,,,0.222,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-02 19:45:00","LI-190R",,,,0.197,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-02 20:00:00","LI-190R",,,,0.355,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-02 20:15:00","LI-190R",,,,0.333,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-02 20:30:00","LI-190R",,,,0.316,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-02 20:45:00","LI-190R",,,,0.278,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-02 21:00:00","LI-190R",,,,0.265,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-02 21:15:00","LI-190R",,,,0.316,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-02 21:30:00","LI-190R",,,,0.329,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-02 21:45:00","LI-190R",,,,0.252,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-02 22:00:00","LI-190R",,,,0.342,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-02 22:15:00","LI-190R",,,,0.291,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-02 22:30:00","LI-190R",,,,0.325,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-02 22:45:00","LI-190R",,,,0.282,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-02 23:00:00","LI-190R",,,,0.316,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-02 23:15:00","LI-190R",,,,0.295,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-02 23:30:00","LI-190R",,,,0.231,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-02 23:45:00","LI-190R",,,,0.239,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-03 00:00:00","LI-190R",,,,0.295,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-03 00:15:00","LI-190R",,,,0.342,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-03 00:30:00","LI-190R",,,,0.363,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-03 00:45:00","LI-190R",,,,0.389,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-03 01:00:00","LI-190R",,,,0.355,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-03 01:15:00","LI-190R",,,,0.389,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-03 01:30:00","LI-190R",,,,0.393,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-03 01:45:00","LI-190R",,,,0.385,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-03 02:00:00","LI-190R",,,,0.342,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-03 02:15:00","LI-190R",,,,0.338,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-03 02:30:00","LI-190R",,,,0.372,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-03 02:45:00","LI-190R",,,,0.346,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-03 03:00:00","LI-190R",,,,0.308,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-03 03:15:00","LI-190R",,,,0.295,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-03 03:30:00","LI-190R",,,,0.278,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-03 03:45:00","LI-190R",,,,0.244,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-03 04:00:00","LI-190R",,,,0.393,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-03 04:15:00","LI-190R",,,,0.338,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-03 04:30:00","LI-190R",,,,0.342,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-03 04:45:00","LI-190R",,,,0.252,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-03 05:00:00","LI-190R",,,,0.393,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-03 05:15:00","LI-190R",,,,0.359,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-03 05:30:00","LI-190R",,,,0.385,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-03 05:45:00","LI-190R",,,,0.393,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-03 06:00:00","LI-190R",,,,0.415,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-03 06:15:00","LI-190R",,,,0.355,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-03 06:30:00","LI-190R",,,,0.325,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-03 06:45:00","LI-190R",,,,0.286,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-03 07:00:00","LI-190R",,,,0.59,"wx-par-den15","0fc57275",,0,
